axis_ratio,filename,largest_ratio,max_edge_ratio,status,thick_faces,thick_largest,thick_max_edge,thick_vertices,thin_faces,thin_largest,thin_max_edge,thin_vertices
2.5288,jacket-3d-model-11-768cab6d.glb,1.1507,19.3330,suspicious,284176,9.9006,6.0533,143048,123523,8.6039,0.3131,71038
1.2764,jacket-3d-model-12-0917d7bb.glb,1.0052,10.2914,ok,314508,7.9508,1.2918,157434,148108,7.9095,0.1255,78642
2.4124,jacket-3d-model-13-c469b1be.glb,1.2430,29.0327,suspicious,77212,8.3889,5.6704,38672,35820,6.7490,0.1953,19336
2.9491,jumpsuit-3d-model-01-3efb87d6.glb,1.0084,38.9899,suspicious,131428,13.3772,10.5542,65780,62696,13.2663,0.2707,32881
1.0115,jumpsuit-3d-model-02-7bdfcd8f.glb,1.0007,1.9931,ok,39616,13.9644,0.6984,19870,18366,13.9546,0.3504,9935
2.0816,jumpsuit-3d-model-03-6a89d31d.glb,1.1986,10.2155,suspicious,105684,18.2330,3.3005,53476,44846,15.2120,0.3231,26573
1.0129,jumpsuit-3d-model-04-e8a79953.glb,1.0012,1.0067,ok,26728,14.6275,0.3858,13384,12550,14.6095,0.3832,6692
3.0909,jumpsuit-3d-model-05-d919adda.glb,3.0909,90.6121,suspicious,179440,23.6408,23.6494,89980,85345,7.6485,0.2610,44970
3.0891,long-button-front-womens-shirt-3d-model.glb,3.0891,216.8962,suspicious,391392,238.3206,238.3206,196800,167691,77.1501,1.0988,98069
50283.9657,long-sleeve-crewneck-shirt-3d-model.glb,17955.2666,371365.8672,suspicious,1731840,1454134.1250,727111.4331,928367,741475,80.9865,1.9579,437690
51060.3097,long-sleeve-high-neck-base-layer-3d-model.glb,19301.4962,270201.2387,suspicious,2216544,1454133.1250,727110.9374,1148496,948122,75.3378,2.6910,560180
50974.1519,long-sleeve-turtleneck-top-3d-model.glb,17669.6645,291824.2652,suspicious,2217844,1454126.6250,727107.6926,1167270,948796,82.2951,2.4916,560503
